NAME	VERSION	TYPE	Anticheat	ADDRESS	SLOTS	WEBSITE	NOTES
endcrystal.me	1.19.x	Anarchy	Yes	endcrystal.me	100	https://endcrystal.me/	good alternative to 2b2t
Horizon Hardcore Anarchy	1.18.2	Hardcore-Anarchy	Yes	horizonanarchy.net	unknown		Anarchy Server with custom Plugin that bans players if they get killed. Regular Unbans.
Novylen	1.19.x	Vanilla	Yes	minecraft.novylen.net	20	https://minecraft.novylen.net/	oldest continuously updated server
Toxigon	1.19.x	Hub	No	play.toxigon.com	unknown	https://www.toxigon.com/	Openly allows cheats, Anticheat kicks in at <15 tps.
2b2t Archive Server	1.19.x	spectrator	No	thearchive.world	50		archives bases from 2b2t and other servers
2b2t	1.19.x	Anarchy	Yes	2b2t.org	250		If you don't know it yet, watch FitMC & SalC1...
2b2t testing	1.19.x	Anarchy	Yes	test.2b2t.org	250		see 2b2t, but almost never queue wait times
LinusTechTips	1.18.x	multiple	Yes	mc.ltt.gg	>1000	https://ltt.gg/	high-performance server
GreenSurvivors	1.18.x	multiple	Yes	greensurvivors.de	100	https://greensurvivors.de/	small server
Hardcore Anarchy	1.20.x	Anarchy	Yes	hardcoreanarchy.gay	???	http://hardcoreanarchy.gay	Anarchy Server
2b2d.org	1.20.x	Creative Anarchy	?	2b2d.org	???	https://www.planetminecraft.com/server/ssm-survival/	Creative Anarchy Server
RivalestNet	1.20.x	Anarchy	Yes	rivalest.net	???	http://rivalest.net	Anarchy Server
Albacore	1.20.x	Anarchy	???	albacore.apexmc.co	???	https://www.planetminecraft.com/server/albacore/	Anarchy Server
True Vanilla	1.20.x	Vanilla	Yes	truevanilla.gg	???	https://truevanilla.gg/	Regular Vanilla Minecraft
6b6t	1.20.x	Anarchy	???	6b6t.org	???	https://www.6b6t.org/	Anarchy Server, Same Seed as 2b2t
Pure Minecraft Server	1.20.x	Anarchy	???	node2.spillhosting.no:25073	???	https://minecraft.buzz/server/7835	Vanilla Anarchy Server
Winds Anarchy	1.20.x	Anarchy	Relaxed	breeze.asia	???	https://www.planetminecraft.com/server/winds-anarchy-2b2t-1-19-2/	Anarchy Server, Cheats Allowed
5b5t	1.19.x	Anarchy	???	5b5t.org	???	https://www.planetminecraft.com/server/2b2t-anarchy-server/	Vanilla Anarchy
OldFacs	1.20.x	Anarchy Factions	???	157.90.130.172:25589	???	https://www.planetminecraft.com/server/oldfacs/	Anarchy Server with Factions and Plugins
Vanilla Playground	1.19.x	Anarchy Survival	Strong	play.mcvpg.org	75	https://minecraft.menu/server-banilla-survival.1456	Supports ~offline~ accounts
One World One Life	1.20.x	Hardcore Anarchy	???	oneworldonelife.net	???	https://minecraft.menu/server-one-world-one-life.1278	Dying gets people kicked and banned for 72 hours!
V for Vanilla	1.20.x	Anarchy	Yes	vforv.net	50	https://mclike.com/minecraft-server-192225	Vanilla Anarchy Server, No Hacked Clients allowed, Strong Anticheat
Valentine Anarchy	1.20.1	Anarchy	???	valentineanarchy.playmc.at	100	https://mclike.com/minecraft-server-190542	A Diverse Friendly Server
SupahFreshTV	1.20.1	Anarchy	???	supahfreshtv.ddns.net	500	https://mclike.com/minecraft-server-191521	Pocket Edition Crossplay
Content Clear	1.20.x	Anarchy	No	contentclear.de	30	https://www.planetminecraft.com/server/best-1-20-anarchy-server-content-clear/	German Anarchy Server
German Anarchy	1.20.1	Anarchy	???	german-anarchy.org	80	https://minecraft-servers.de/server/german-anarchy-org	German Anarchy Server
Phoenix Anarchy	1.20.1	Anarchy	???	phoenixanarchy.com	100	https://phoenixanarchy.com/	Custom Plugins for Performance
