NAME	VERSION	TYPE	Anticheat	ADDRESS	SLOTS	WEBSITE	NOTES
endcrystal.me	1.19.x	Anarchy	Yes	endcrystal.me	100	https://endcrystal.me/	good alternative to 2b2t
Horizon Hardcore Anarchy	1.18.2	Hardcore-Anarchy	Yes	horizonanarchy.net	unknown		Anarchy Server with custom Plugin that bans players if they get killed. Regular Unbans.
Novylen	1.19.x	Vanilla	Yes	minecraft.novylen.net	20	https://minecraft.novylen.net/	oldest continuously updated server
Toxigon	1.19.x	Hub	No	play.toxigon.com	unknown	https://www.toxigon.com/	Openly allows cheats, Anticheat kicks in at <15 tps.
2b2t Archive Server	1.19.x	spectrator	No	thearchive.world	50		archives bases from 2b2t and other servers
2b2t	1.19.x	Anarchy	Yes	2b2t.org	250		If you don't know it yet, watch FitMC & SalC1...
2b2t testing	1.19.x	Anarchy	Yes	test.2b2t.org	250		see 2b2t, but almost never queue wait times
LinusTechTips	1.18.x	multiple	Yes	mc.ltt.gg	>1000	https://ltt.gg/	high-performance server
GreenSurvivors	1.18.x	multiple	Yes	greensurvivors.de	100	https://greensurvivors.de/	small server
Hardcore Anarchy	1.20.x	Anarchy	Yes	hardcoreanarchy.gay	???	http://hardcoreanarchy.gay	Anarchy Server
2b2d.org	1.20.x	Creative Anarchy	?	2b2d.org	???	https://www.planetminecraft.com/server/ssm-survival/	Creative Anarchy Server
RivalestNet	1.20.x	Anarchy	Yes	rivalest.net	???	http://rivalest.net	Anarchy Server
Albacore	1.20.x	Anarchy	???	albacore.apexmc.co	???	https://www.planetminecraft.com/server/albacore/	Anarchy Server
True Vanilla	1.20.x	Vanilla	Yes	truevanilla.gg	???	https://truevanilla.gg/	Regular Vanilla Minecraft
6b6t	1.20.x	Anarchy	???	6b6t.org	???	https://www.6b6t.org/	Anarchy Server, Same Seed as 2b2t
Pure Minecraft Server	1.20.x	Anarchy	???	node2.spillhosting.no:25073	???	https://minecraft.buzz/server/7835	Vanilla Anarchy Server
Winds Anarchy	1.20.x	Anarchy	Relaxed	breeze.asia	???	https://www.planetminecraft.com/server/winds-anarchy-2b2t-1-19-2/	Anarchy Server, Cheats Allowed
